Air_Conditioner,Antiquity,Bathrooms,Borough,Community_Zone,Concierge,District,Elevator,Energy_Consumption,Ensuite,Equipped_Kitchen,Floor,Furnished,Garden,Price,Rooms,Size,Swimming_Pool,Terrace,Type
1,1-5,1,Numancia,0,0,Puente de Vallecas,0,G,0,0,3,0,0,600,2,27,0,0,Piso
1,+100,1,Embajadores,0,1,Centro,1,G,0,0,4,0,0,630,2,32,0,0,Piso
0,50-70,1,Palomeras Bajas,0,0,Puente de Vallecas,1,G,0,0,2,0,0,760,1,70,0,1,Piso
0,30-50,1,Chopera,0,0,Arganzuela,1,B,0,1,3,1,0,850,1,55,0,0,Piso
0,10-20,1,San Diego,0,0,Puente de Vallecas,0,G,0,0,2,0,0,700,2,45,0,0,Piso
1,50-70,1,Casa de Campo,0,0,Moncloa,1,G,0,1,2,1,0,850,2,65,0,0,Piso
1,70-100,1,Trafalgar,0,0,Chamberí,0,G,0,1,3,1,0,750,2,54,0,0,Piso
0,70-100,1,Arapiles,0,0,Chamberí,1,G,0,1,5,1,0,695,1,45,0,0,Apartamento
1,1-5,2,Los Rosales,1,0,Villaverde,1,E,1,1,4,1,0,895,3,88,1,0,Piso
0,+100,1,Sol,0,0,Centro,0,E,0,1,2,1,0,1200,2,90,0,0,Piso
0,1-5,1,Numancia,0,0,Puente de Vallecas,0,G,0,1,1,1,0,750,3,51,0,0,Piso
1,+100,1,Castillejos,0,0,Tetuán,1,G,0,1,3,1,0,750,1,30,0,0,Piso
1,30-50,2,Castilla,1,1,Chamartín,1,D,0,1,2,1,1,900,1,85,1,0,Piso
1,10-20,2,Ensanche de Vallecas,0,0,Villa de Vallecas,1,D,0,1,5,1,0,675,2,70,0,0,Piso
1,30-50,1,Ríos Rosas,1,1,Chamberí,1,G,0,1,2,1,0,1150,1,71,0,0,Apartamento
0,30-50,1,Comillas,0,0,Carabanchel,1,E,0,1,2,1,0,900,3,90,0,0,Piso
0,+100,1,Sol,0,0,Centro,0,G,0,1,2,1,0,800,2,65,0,0,Piso
0,30-50,1,Chopera,0,0,Arganzuela,1,G,0,1,2,0,0,750,4,70,0,0,Piso
0,+100,1,Universidad,0,0,Centro,0,G,0,1,3,0,0,600,1,42,0,0,Apartamento
1,30-50,1,Almagro,0,0,Chamberí,0,E,0,1,2,1,0,850,2,55,0,0,Dúplex
0,50-70,1,Portazgo,0,0,Puente de Vallecas,0,G,0,0,3,1,0,675,2,50,0,0,Piso
0,70-100,1,Goya,0,1,Salamanca,1,G,0,1,2,1,0,1000,3,72,0,0,Piso
1,30-50,2,Aluche,0,0,Latina,1,E,0,1,5,1,0,850,4,85,0,1,Piso
1,50-70,1,Guindalera,0,0,Salamanca,1,G,0,1,4,1,0,900,3,59,0,0,Piso
1,70-100,1,Lista,0,1,Salamanca,1,G,0,1,2,1,0,940,2,65,0,0,Piso
1,20-30,2,Guindalera,0,1,Salamanca,1,G,0,1,5,1,0,950,2,73,0,0,Piso
1,50-70,1,Guindalera,0,1,Salamanca,1,G,0,1,4,1,0,1050,3,67,0,0,Piso
1,10-20,1,Almendrales,0,0,Usera,1,E,0,1,3,1,0,800,4,96,0,0,Piso
1,+100,1,Palacio,0,0,Centro,1,G,0,1,Entresuelo,1,0,675,1,36,0,1,Piso
1,50-70,2,Guindalera,0,0,Salamanca,1,G,0,1,4,1,0,1300,3,70,0,1,Piso
0,+100,1,Universidad,0,0,Centro,0,G,0,1,2,0,0,695,1,40,0,0,Piso
0,20-30,1,Arcos,0,1,San Blas,1,G,0,1,7,0,0,1100,2,85,1,0,Ático
0,70-100,1,Arapiles,0,1,Chamberí,1,G,0,1,2,1,0,750,1,47,0,0,Piso
0,70-100,1,Palos de Moguer,0,1,Arganzuela,1,G,0,1,5,0,0,820,1,58,0,0,Apartamento
0,50-70,2,Vallehermoso,0,1,Chamberí,1,G,0,1,6,1,0,1450,3,120,0,0,Piso
0,30-50,1,Universidad,0,0,Centro,1,D,0,0,1,0,0,699,1,55,0,0,Piso
0,50-70,1,Abrantes,0,0,Carabanchel,0,D,0,1,Bajos,1,0,699,2,80,0,0,Planta baja
1,+100,1,Justicia,0,1,Centro,1,G,0,1,5,1,0,900,1,80,0,0,Estudio
1,1-5,1,Numancia,0,0,Puente de Vallecas,1,E,0,1,1,1,0,795,1,49,0,0,Piso
1,30-50,1,Media Legua,0,0,Moratalaz,1,E,0,1,4,0,0,820,3,69,0,0,Piso
0,30-50,1,Canillas,0,0,Hortaleza,0,G,0,1,3,1,0,825,1,54,0,0,Piso
1,70-100,2,Delicias,0,0,Arganzuela,1,G,0,1,1,0,0,1350,3,120,0,0,Piso
