Antiquity,Bathrooms,Community_Expenses,Condition,Deposit,Elevator,Emissions,Energy_Consumption,Extra,Floor,Furnished,Heating,Neighborhood,Orientation,Parking,Pets,Photos,Price,Rooms,Size,Title,Type,Water_Heater,url
nan,1,Sí,Bien,Sí,nan,A,A,Calefacción-Parquet-Electrodomésticos-Horno-Lavadora-Nevera,nan,nan,nan,"Calle de Sierra de Pineda, 40, Puente de Vallecas",nan,nan,nan,14,850 €,2,70,"Piso de alquiler en Calle de Sierra de Pineda, 40 Palomeras Bajas",Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/calefaccion/158825993/d
70 a 100 años,4,nan,Bien,nan,Sí,D,D,Aire acondicionado-Armarios-Suite - con baño-Ascensor interior-Baño de huéspedes-Cocina Equipada,nan,Sí,Gas Natural,Salamanca,nan,nan,nan,27,2.300 €,3,119,Piso de alquiler en Goya,Piso,Gas Natural,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor-amueblado/158826192/d
nan,1,Sí,Casi nuevo,Sí,Sí,En trámite,G,Aire acondicionado-Armarios-Gres Cerámica-Parquet-Z. Comunitaria-Cocina Office-Piscina-Electrodomésticos-Horno-Lavadora-Microondas-Nevera-Serv. portería-Domótica-Energía Solar-Videoportero-Zona Deportiva-Zona Infantil-Piscina comunitaria-Cocina Equipada,4ª planta,Sí,Electricidad,San Blas,nan,Privado,nan,17,630 €,1,55,Apartamento de alquiler en Rejas,Apartamento,Electricidad,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-zona-comunitaria-ascensor-piscina-amueblado-parking-piscina/158826064/d
,2,,,,,En trámite,G,Aire acondicionado-Armarios-Terraza-Patio-Puerta Blindada-Lavadero-Cocina Equipada,,Sí,,"De San Marcos, Centro",,,Sí,11,1.100 €,2,70,Piso de alquiler en De San Marcos Justicia - Chueca,Piso,,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-terraza-patio-amueblado-se-aceptan-mascotas/158824034/d
,1,Sí,Muy bien,Sí,,En trámite,G,Parquet-Electrodomésticos-Lavadora-Nevera-Cocina Equipada,Bajos,Sí,Gas Natural,"Quiñones, Centro",,,nan,11,600 €,1,40,Piso de alquiler en Quiñones Universidad - Malasaña,Piso,,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/calefaccion-amueblado/158824179/d
10 a 20 años,2,nan,nan,nan,Sí,En trámite,G,Aire acondicionado-Armarios-Calefacción-Trastero-Piscina-Gimnasio-Piscina comunitaria,3ª planta,nan,nan,Hortaleza,,Privado,nan,43,1.390 €,3,110,Piso de alquiler en Sanchinarro,Piso,,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-trastero-ascensor-piscina-piscina/158607773/d
nan,2,nan,nan,nan,Sí,En trámite,G,Aire acondicionado-Armarios-Electrodomésticos-Horno-Microondas-Nevera-Balcón-Internet-Cocina Equipada,4ª planta,Sí,Gas Natural,"Calle del Conde de Peñalver, Salamanca",,nan,nan,20,1.400 €,2,90,Piso de alquiler en Calle del Conde de Peñalver Lista,Piso,,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor-amueblado-internet/158408671/d
nan,1,nan,nan,Sí,nan,E,E,Calefacción-Lavadora-Nevera-Cocina Equipada,4ª planta,Sí,nan,"Calle de Cuart de Poblet, 29, Latina",,nan,nan,10,800 €,3,75,"Piso de alquiler en Calle de Cuart de Poblet, 29 Lucero",Piso,,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/calefaccion-amueblado/158824196/d
nan,2,nan,Bien,nan,Sí,En trámite,G,Aire acondicionado-Armarios-Calefacción-Balcón-Cocina Equipada,1ª planta,No,nan,"Del Conde de Xiquena, Centro",Oeste,nan,Sí,23,1.900 €,2,110,Piso de alquiler en Del Conde de Xiquena Justicia - Chueca,Piso,,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor-se-aceptan-mascotas-no-amueblado/158824255/d
nan,1,Sí,Muy bien,nan,Sí,En trámite,G,Armarios-Jardín Privado-Parquet-Terraza-Z. Comunitaria-Horno-Serv. portería-Zona Deportiva-Zona Infantil-Puerta Blindada-Piscina comunitaria-Lavadero,2ª planta,No,Gas Natural,"Avenida del Talgo, 155, Moncloa",nan,Privado,nan,28,1.095 €,2,91,"Piso de alquiler en Avenida del Talgo, 155 Aravaca",Piso,Gas Natural,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/parking-jardin-terraza-zona-comunitaria-ascensor-piscina-no-amueblado/158824286/d
50 a 70 años,1,Sí,Reformado,Sí,nan,C,C,Armarios-Jardín Privado-Z. Comunitaria-Electrodomésticos-Horno-Lavadora-Microondas-Nevera-TV-Internet-Puerta Blindada,nan,Sí,Gas Natural,"Calle del Pico de Los Artilleros, Moratalaz",Este,nan,nan,21,830 €,2,67,Piso de alquiler en Calle del Pico de Los Artilleros Vinateros,Piso,Gas Natural,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/calefaccion-jardin-zona-comunitaria-amueblado-television-internet/158823727/d
nan,2,nan,nan,nan,Sí,En trámite,G,Aire acondicionado-Armarios-Calefacción-Serv. portería-Cocina Equipada,3ª planta,No,nan,"De Alcalá, Salamanca",nan,nan,nan,28,1.550 €,3,126,Piso de alquiler en De Alcalá Goya,Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor-no-amueblado/155733359/d
nan,1,nan,nan,nan,nan,En trámite,G,Aire acondicionado-Calefacción-Electrodomésticos-Horno-Lavadora-Nevera-Cocina Equipada,Bajos,No,nan,"Calle de Altamirano, Moncloa",nan,nan,nan,22,750 €,1,57,Piso de alquiler en Calle de Altamirano Argüelles,Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-no-amueblado/158476311/d
50 a 70 años,1,nan,nan,nan,nan,En trámite,G,Aire acondicionado-Electrodomésticos,3ª planta,nan,nan,"Angel Mugica, Fuencarral",nan,nan,nan,8,750 €,2,72,Piso de alquiler en Angel Mugica Tres Olivos - Valverde,Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado/158824412/d
30 a 50 años,1,Sí,Casi nuevo,nan,Sí,E,E,Aire acondicionado-Armarios-Gres Cerámica-Suite - con baño-Electrodomésticos-Horno-Lavadora-Microondas-Nevera-Serv. portería-TV-Cocina Equipada,5ª planta,Sí,Gas Natural,"Calle de Alcántara, 57, Salamanca",Suroeste,nan,nan,24,1.100 €,1,54,"Apartamento de alquiler en Calle de Alcántara, 57 Lista",Apartamento,Gas Natural,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor-amueblado-television/158618089/d
nan,1,Sí,Bien,Sí,Sí,En trámite,G,Aire acondicionado-Armarios-Parquet-Cocina Office-Electrodomésticos-Horno-Lavadora-Nevera-Cocina Equipada,Bajos,Sí,Gasóleo,"Calle de Ayala, 86, Salamanca",Sur,nan,Sí,11,550 €,1,40,"Apartamento de alquiler en Calle de Ayala, 86 Goya",Apartamento,Gasóleo,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-ascensor-amueblado-se-aceptan-mascotas/158824633/d
50 a 70 años,1,Sí,Muy bien,nan,nan,En trámite,G,Aire acondicionado-Armarios-Parquet-Cocina Office-Electrodomésticos-Lavadora-Nevera-Serv. portería-Puerta Blindada-Cocina Equipada,1ª planta,Sí,Electricidad,"Calle de Alcalá, Ciudad Lineal",Sur,nan,nan,19,600 €,nan,34,Estudio de alquiler en Calle de Alcalá Pueblo Nuevo,Estudio,Electricidad,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-amueblado/158824667/d
70 a 100 años,1,nan,Muy bien,nan,Sí,En trámite,G,Aire acondicionado-Lavadora-Microondas-Nevera-Cocina Equipada,Bajos,Sí,Electricidad,"Calle del Marqués de Viana, Tetuán",nan,nan,nan,6,650 €,2,35,Piso de alquiler en Calle del Marqués de Viana Valdeacederas,Piso,Electricidad,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor-amueblado/158824753/d
nan,2,nan,nan,nan,Sí,En trámite,G,Armarios-Calefacción-Terraza-Serv. portería-Cocina Equipada,6ª planta,nan,nan,"Doctor Gómez Ulla, Salamanca",nan,nan,nan,12,1.400 €,3,135,Piso de alquiler en Doctor Gómez Ulla Guindalera,Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/calefaccion-terraza-ascensor/158392508/d
20 a 30 años,2,nan,Bien,nan,Sí,En trámite,G,Aire acondicionado-Jardín Privado-Parquet,3ª planta,nan,Gas Natural,"Calle de Rusia, San Blas",Sureste,Privado,nan,30,990 €,3,99,Piso de alquiler en Calle de Rusia Rosas - Musas,Piso,Gas Natural,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-jardin-ascensor/157610804/d
nan,1,Sí,Bien,nan,nan,En trámite,G,Terraza-Electrodomésticos-Horno-Lavadora-Nevera-Cocina Equipada,2ª planta,Sí,nan,"Calle de Bruno García, Carabanchel",nan,nan,nan,24,750 €,2,50,Piso de alquiler en Calle de Bruno García Vista Alegre,Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/terraza-amueblado/158823463/d
nan,1,Sí,Casi nuevo,Sí,Sí,En trámite,G,Aire acondicionado-Armarios-Trastero-Cocina Office-Electrodomésticos-Horno-Lavadora-Microondas-Nevera-Cocina Equipada,Subsótano,No,Electricidad,"Calle de las Pozas, Centro",Noreste,nan,nan,8,750 €,1,40,Piso de alquiler en Calle de las Pozas Universidad - Malasaña,Piso,Gas Natural,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-trastero-ascensor-no-amueblado/158415470/d
20 a 30 años,2,nan,nan,nan,Sí,E,F,Aire acondicionado-Armarios-Piscina-Suite - con baño-Ascensor interior-Cocina Equipada,6ª planta,No,Gas Natural,Arganzuela,nan,Privado,nan,15,1.190 €,2,72,Piso de alquiler en Delicias,Piso,Gas Natural,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-ascensor-piscina-no-amueblado/158823486/d
20 a 30 años,1,Sí,Muy bien,Sí,Sí,En trámite,G,Aire acondicionado-Armarios-Jardín Privado-Terraza-Suite - con baño-Electrodomésticos-Horno-Lavadora-Nevera-Serv. portería-Videoportero-Zona Infantil-Puerta Blindada-Piscina comunitaria-Cocina Equipada,3ª planta,Sí,Electricidad,"Calle de Pablo Vidal, Ciudad Lineal",Este,nan,Sí,21,850 €,1,65,Apartamento de alquiler en Calle de Pablo Vidal Colina,Apartamento,Gas Natural,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-jardin-terraza-ascensor-amueblado-se-aceptan-mascotas-piscina/158823365/d
50 a 70 años,3,nan,nan,nan,Sí,En trámite,G,Aire acondicionado-Armarios-Calefacción-Puerta Blindada-Cocina Equipada,5ª planta,No,nan,Chamartín,Sur,nan,nan,25,2.700 €,4,169,Piso de alquiler en Hispanoamérica - Bernabéu,Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor-no-amueblado/158823647/d
nan,2,nan,Casi nuevo,nan,Sí,D,D,Armarios-Calefacción-Electrodomésticos-Horno-Lavadora-Nevera-Puerta Blindada-Lavadero,nan,nan,nan,"Calle de Alonso Heredia, 13, Salamanca",Este,nan,nan,15,1.350 €,2,90,"Piso de alquiler en Calle de Alonso Heredia, 13 Guindalera",Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/calefaccion-ascensor/158823014/d
nan,1,nan,nan,nan,Sí,En trámite,G,Aire acondicionado,5ª planta,nan,nan,"Del Doctor Esquerdo, Salamanca",nan,nan,nan,11,850 €,3,60,Piso de alquiler en Del Doctor Esquerdo Fuente del Berro,Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-ascensor/158281179/d
nan,1,nan,nan,nan,nan,En trámite,G,Calefacción-Patio-Serv. portería-Cocina Equipada,Subsótano,nan,nan,"De Ayala, Salamanca",nan,nan,nan,19,800 €,2,64,Piso de alquiler en De Ayala Goya,Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/calefaccion-patio/157781771/d
70 a 100 años,1,Sí,nan,nan,Sí,En trámite,G,Aire acondicionado-Armarios-Calefacción-Terraza-Electrodomésticos-Cocina Equipada,3ª planta,nan,nan,"Bejar, Salamanca",nan,nan,nan,19,900 €,1,50,Ático de alquiler en Bejar Guindalera,Ático,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-ascensor/158618175/d
20 a 30 años,2,nan,Bien,nan,Sí,En trámite,G,Aire acondicionado-Armarios-Calefacción-Puerta Blindada-Cocina Equipada,nan,Sí,nan,"Antonia Ruiz Soro, Salamanca",nan,nan,nan,34,950 €,2,73,Piso de alquiler en Antonia Ruiz Soro Guindalera,Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor-amueblado/158824836/d
50 a 70 años,2,nan,nan,nan,Sí,En trámite,G,Aire acondicionado-Armarios-Calefacción-Parquet-Terraza-Electrodomésticos-Cocina Equipada,6ª planta,Sí,nan,"Entrearroyos, Moratalaz",nan,nan,nan,23,950 €,3,91,Piso de alquiler en Entrearroyos Media Legua,Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-ascensor-amueblado/158185732/d
70 a 100 años,1,Sí,nan,nan,Sí,En trámite,G,Calefacción-Parquet-Electrodomésticos-Cocina Equipada,2ª planta,Sí,nan,"Hermosilla, 98, Salamanca",nan,nan,nan,16,1.250 €,3,86,"Piso de alquiler en Hermosilla, 98 Goya",Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/calefaccion-ascensor-amueblado/158508359/d
nan,1,nan,nan,nan,Sí,En trámite,G,Aire acondicionado-Calefacción-Terraza-Patio-Serv. portería-Cocina Equipada,1ª planta,Sí,nan,"Alejandro González, Salamanca",nan,nan,nan,20,1.100 €,3,71,Piso de alquiler en Alejandro González Fuente del Berro,Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-ascensor-patio-amueblado/158129580/d
,1,Sí,,,,En trámite,G,Aire acondicionado-Calefacción,2ª planta,,,"Gravina, Centro",,,,20,900 €,1,60,Piso de alquiler en Gravina Justicia - Chueca,Piso,,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion/158813453/d
,1,Sí,Bien,,,En trámite,G,Armarios-Parquet-Electrodomésticos-Horno-Microondas-Nevera-Cocina Equipada,1ª planta,Sí,Gas Natural,"Calle de Ana María, Tetuán",,,,16,650 €,1,45,Piso de alquiler en Calle de Ana María Valdeacederas,Piso,Gas Natural,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/amueblado/158822693/d
,1,Sí,nan,Sí,Sí,En trámite,G,Aire acondicionado-Armarios-Calefacción-Gres Cerámica-Parquet-Z. Comunitaria-Cocina Office-Piscina-Electrodomésticos-Horno-Lavadora-Microondas-Nevera-Serv. portería-Energía Solar-Videoportero-Zona Deportiva-Zona Infantil-Piscina comunitaria-Cocina Equipada,4ª planta,Sí,nan,San Blas,,Comunitario,,17,630 €,1,55,Apartamento de alquiler en Rejas,Apartamento,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-zona-comunitaria-ascensor-piscina-amueblado-parking-piscina/158455490/d
,1,Sí,nan,Sí,Sí,En trámite,G,Aire acondicionado-Armarios-Calefacción-Gres Cerámica-Parquet-Z. Comunitaria-Cocina Office-Piscina-Electrodomésticos-Horno-Lavadora-Microondas-Nevera-Serv. portería-Energía Solar-Videoportero-Zona Deportiva-Zona Infantil-Piscina comunitaria-Cocina Equipada,3ª planta,Sí,nan,San Blas,,Privado,,19,630 €,1,55,Apartamento de alquiler en Rejas,Apartamento,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-zona-comunitaria-ascensor-piscina-amueblado-parking-piscina/158454242/d
70 a 100 años,1,nan,nan,nan,Sí,E,E,Armarios,Bajos,nan,nan,"Calle de Blasco de Garay, 8, Chamberí",,nan,,34,850 €,1,60,"Piso de alquiler en Calle de Blasco de Garay, 8 Arapiles",Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/ascensor/158822448/d
10 a 20 años,2,Sí,Muy bien,nan,Sí,En trámite,G,Armarios-Gres Cerámica-Terraza-Trastero-Z. Comunitaria-Piscina-Horno-Serv. portería-Piscina comunitaria-Lavadero,1ª planta,No,Gas Natural,"Calle Bahía de Málaga, 2b, Barajas",,Privado,,20,1.350 €,3,152,"Piso de alquiler en Calle Bahía de Málaga, 2b Corralejos - Campo de las Naciones",Piso,Gas Natural,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/calefaccion-parking-terraza-trastero-zona-comunitaria-ascensor-piscina-piscina-no-amueblado/158822593/d
nan,1,Sí,nan,Sí,Sí,En trámite,G,Aire acondicionado-Armarios-Calefacción-Gres Cerámica-Parquet-Z. Comunitaria-Cocina Office-Piscina-Electrodomésticos-Horno-Lavadora-Microondas-Nevera-Serv. portería-Domótica-Energía Solar-Videoportero-Zona Deportiva-Zona Infantil-Piscina comunitaria-Cocina Equipada,2ª planta,Sí,nan,San Blas,,Privado,,18,630 €,1,55,Apartamento de alquiler en Rejas,Apartamento,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-zona-comunitaria-ascensor-piscina-amueblado-parking-piscina/158432134/d
10 a 20 años,2,Sí,Casi nuevo,nan,Sí,En trámite,G,Aire acondicionado-Armarios-Gres Cerámica-Terraza-Trastero-Z. Comunitaria-Piscina-Horno-Serv. portería-Piscina comunitaria-Lavadero,1ª planta,nan,Gas Natural,"Calle de Balcánica, 3a, Barajas",,Privado,,12,875 €,2,97,"Piso de alquiler en Calle de Balcánica, 3a Corralejos - Campo de las Naciones",Piso,Gas Natural,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-terraza-trastero-zona-comunitaria-ascensor-piscina-piscina/158822404/d
nan,3,Sí,nan,nan,Sí,E,E,Aire acondicionado-Armarios-Calefacción-Parquet-Suite - con baño-Electrodomésticos-Horno-Lavadora-Microondas-Nevera-Serv. portería-TV-Balcón-Puerta Blindada,nan,Sí,nan,"Calle Ibiza, 27, Retiro",,nan,,11,1.350 €,2,80,"Piso de alquiler en Calle Ibiza, 27 Ibiza de Madrid",Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor-amueblado-television/158578991/d
+ 100 años,1,nan,nan,nan,nan,E,E,Aire acondicionado-Balcón,nan,No,Electricidad,Centro,Este,nan,,17,900 €,1,42,Piso de alquiler en Palacio,Piso,Electricidad,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-no-amueblado/158822952/d
nan,1,Sí,Muy bien,Sí,nan,En trámite,G,Aire acondicionado-Armarios-Calefacción-Electrodomésticos-Cocina Equipada,Entresuelo,Sí,nan,"Avenida de Portugal, Moncloa",nan,nan,,9,800 €,1,40,Piso de alquiler en Avenida de Portugal Casa de Campo,Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-amueblado/158823049/d
nan,1,Sí,nan,nan,nan,En trámite,G,Aire acondicionado-Armarios-Electrodomésticos-Lavadora-Microondas-Nevera-Cocina Equipada,1ª planta,Sí,nan,"Calle de Maqueda, Latina",nan,nan,,8,570 €,nan,35,Estudio de alquiler en Calle de Maqueda Aluche,Estudio,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-amueblado/158823280/d
nan,1,nan,Bien,nan,nan,En trámite,G,Armarios-Patio-Electrodomésticos-Lavadora-Microondas-Nevera-Serv. portería-Lavadero-Cocina Equipada,Sótano,Sí,Gas Natural,Salamanca,Sur,nan,,25,800 €,1,35,Piso de alquiler en Goya,Piso,Gas Natural,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/calefaccion-patio-amueblado/158823302/d
+ 100 años,3,Sí,Muy bien,nan,Sí,En trámite,G,Aire acondicionado-Armarios-Suite - con baño-Electrodomésticos-Horno-Lavadora-Microondas-Nevera-TV-Puerta Blindada-Cocina Equipada,3ª planta,Sí,Gas Natural,Centro,nan,nan,,31,1.300 €,2,113,Piso de alquiler en Embajadores - Lavapiés,Piso,Gas Natural,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor-amueblado-television/158823218/d
20 a 30 años,1,Sí,Bien,nan,Sí,En trámite,G,Aire acondicionado-Armarios-Parquet,2ª planta,nan,Gas Natural,Moratalaz,nan,Privado,,17,800 €,2,87,Piso de alquiler en Horcajo,Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-ascensor/158823225/d
30 a 50 años,3,Sí,Muy bien,Sí,Sí,G,G,Armarios-Cocina Office-Suite - con baño-Electrodomésticos-Horno-Lavadora-Microondas-Nevera-Serv. portería-Cocina Equipada,3ª planta,Sí,Gas Natural,Moncloa,nan,nan,,15,1.380 €,3,120,Piso de alquiler en Argüelles,Piso,Gas Natural,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/calefaccion-ascensor-amueblado/157892444/d
70 a 100 años,1,nan,nan,nan,nan,E,F,Aire acondicionado-Armarios,1ª planta,nan,nan,"Calle Donoso Cortés, 62, Chamberí",nan,nan,,17,580 €,1,40,"Piso de alquiler en Calle Donoso Cortés, 62 Gaztambide",Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado/158585720/d
+ 100 años,1,nan,nan,nan,nan,G,G,Aire acondicionado-Armarios-Balcón,1ª planta,nan,nan,"Calle de la Fe, Centro",nan,nan,,26,895 €,2,60,Piso de alquiler en Calle de la Fe Embajadores - Lavapiés,Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado/158585939/d
10 a 20 años,1,nan,Bien,nan,Sí,E,E,Aire acondicionado-Armarios-Jardín Privado-Terraza-Trastero-Piscina comunitaria,12ª planta,nan,Gas Natural,"Calle de Dulce Chacón, 45, Hortaleza",Oeste,Privado,,40,1.000 €,1,75,"Piso de alquiler en Calle de Dulce Chacón, 45 Virgen del Cortijo - Manoteras",Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-parking-jardin-terraza-trastero-ascensor-piscina/158616985/d
5 a 10 años,2,nan,Bien,nan,Sí,D,D,Armarios-Trastero,Bajos,nan,Gas Natural,"Calle de Gerardo Baena, 1, Fuencarral",nan,Privado,,32,900 €,2,88,"Piso de alquiler en Calle de Gerardo Baena, 1 Tres Olivos - Valverde",Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/parking-trastero-ascensor/158649341/d
nan,1,Sí,Casi nuevo,Sí,Sí,En trámite,G,Aire acondicionado-Armarios-Gres Cerámica-Parquet-Z. Comunitaria-Cocina Office-Piscina-Electrodomésticos-Horno-Lavadora-Microondas-Nevera-Serv. portería-Domótica-Energía Solar-Videoportero-Zona Deportiva-Zona Infantil-Piscina comunitaria-Cocina Equipada,3ª planta,Sí,Electricidad,San Blas,nan,Privado,,24,700 €,1,55,Apartamento de alquiler en Rejas,Apartamento,Electricidad,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-zona-comunitaria-ascensor-piscina-amueblado-parking-piscina/158587445/d
nan,1,nan,nan,nan,Sí,En trámite,G,Aire acondicionado-Armarios-Parquet-Puerta Blindada-Cocina Equipada,1ª planta,Sí,nan,"Del Conde de Peñalver, Salamanca",nan,nan,,24,1.250 €,2,95,Piso de alquiler en Del Conde de Peñalver Goya,Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-ascensor-amueblado/158822321/d
nan,1,Sí,Casi nuevo,Sí,Sí,En trámite,G,Aire acondicionado-Armarios-Gres Cerámica-Parquet-Z. Comunitaria-Cocina Office-Piscina-Electrodomésticos-Lavadora-Microondas-Nevera-Serv. portería-TV-Internet-Domótica-Energía Solar-Videoportero-Zona Deportiva-Zona Infantil-Piscina comunitaria-Cocina Equipada,3ª planta,Sí,Electricidad,San Blas,nan,Privado,,18,690 €,1,55,Apartamento de alquiler en Rejas,Apartamento,Electricidad,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-zona-comunitaria-ascensor-piscina-amueblado-parking-television-internet-piscina/158466243/d
nan,2,Sí,nan,nan,Sí,En trámite,G,Aire acondicionado-Armarios-Calefacción-Parquet-Trastero-Z. Comunitaria-Electrodomésticos-TV-Videoportero-Piscina comunitaria-Cocina Equipada,2ª planta,Sí,nan,"Calle San Juan de Ortega, Fuencarral",nan,Comunitario,Sí,20,1.450 €,3,100,Piso de alquiler en Calle San Juan de Ortega Las Tablas,Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-trastero-zona-comunitaria-ascensor-amueblado-parking-television-se-aceptan-mascotas-piscina/158823390/d
+ 100 años,1,nan,Muy bien,nan,Sí,En trámite,G,Aire acondicionado-Armarios-Calefacción-Electrodomésticos-Horno-Lavadora-Nevera-Serv. portería-Balcón-Puerta Blindada-Cocina Equipada,4ª planta,Sí,nan,"Calle de Carretas, Centro",Sur,nan,nan,28,800 €,nan,68,Piso de alquiler en Calle de Carretas Sol,Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor-amueblado/158823309/d
nan,1,Sí,nan,nan,Sí,En trámite,G,Calefacción,5ª planta,nan,nan,"Ruiz, Centro",nan,nan,nan,17,680 €,2,48,Piso de alquiler en Ruiz Universidad - Malasaña,Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/calefaccion-ascensor/158106062/d
nan,1,Sí,Muy bien,Sí,Sí,E,E,Aire acondicionado-Armarios-Parquet-Terraza-Electrodomésticos-Horno-Lavadora-Microondas-Nevera-Serv. portería-TV-Balcón-Puerta Blindada-Cocina Equipada,2ª planta,Sí,Gas Natural,"Calle de Peñuelas, Arganzuela",Sur,nan,nan,69,1.250 €,3,100,Piso de alquiler en Calle de Peñuelas Acacias,Piso,Gas Natural,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-ascensor-amueblado-television-no-amueblado/158823362/d
nan,1,nan,Bien,nan,Sí,En trámite,G,Armarios-Cocina Office-Electrodomésticos-Horno-Lavadora-Microondas-Lavadero-Cocina Equipada,1ª planta,Sí,Gas Natural,Chamberí,Sur,nan,Sí,12,1.800 €,4,110,Piso de alquiler en Almagro,Piso,Gas Natural,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/calefaccion-ascensor-amueblado-se-aceptan-mascotas/158823387/d
