Antiquity,Bathrooms,Community_Expenses,Condition,Deposit,Elevator,Emissions,Energy_Consumption,Extra,Floor,Furnished,Heating,Neighborhood,Orientation,Parking,Pets,Photos,Price,Rooms,Size,Title,Type,Water_Heater,url
50 a 70 años,3,nan,Muy bien,nan,Sí,E,E,Aire acondicionado-Armarios-Suite - con baño-Electrodomésticos-Serv. portería-Cocina Equipada,9ª planta,Sí,Gasóleo,Salamanca,Oeste,Comunitario,nan,19,3.300 €,2,170,Piso de alquiler en Recoletos,Piso,Gasóleo,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor-amueblado-parking/156926892/d
20 a 30 años,6,nan,nan,nan,nan,En trámite,G,Aire acondicionado-Armarios-Calefacción-Gres Cerámica-Jardín Privado-Terraza-Trastero-Cocina Office-Patio-Piscina-Suite - con baño-Electrodomésticos-Serv. portería-Balcón-Baño de huéspedes-Cuarto para el servicio-Cocina Equipada,nan,nan,nan,"Avenida de Carondelet, Hortaleza",nan,Privado,nan,33,5.900 €,5,366,Casa adosada de alquiler en Avenida de Carondelet Conde Orgaz - Piovera,Casa adosada,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-jardin-terraza-trastero-patio-piscina/151899626/d
nan,2,nan,nan,nan,Sí,En trámite,G,Aire acondicionado-Armarios-Trastero-Electrodomésticos-Serv. portería-Balcón-Cocina Equipada,2ª planta,nan,nan,"Emperador Carlos V, 10, Centro",nan,nan,nan,18,1.150 €,2,75,"Piso de alquiler en Emperador Carlos V, 10 Embajadores - Lavapiés",Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-trastero-ascensor/158617605/d
nan,1,Sí,Muy bien,Sí,Sí,En trámite,G,Aire acondicionado-Armarios-Electrodomésticos-Horno-Lavadora-Microondas-Nevera-TV-Puerta Blindada,3ª planta,Sí,Electricidad,"Calle de la Cava Baja, Centro",Sureste,nan,nan,13,650 €,nan,30,Estudio de alquiler en Calle de la Cava Baja Palacio,Estudio,Electricidad,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor-amueblado-television/158849180/d
nan,1,nan,Bien,nan,nan,En trámite,G,Parquet,2ª planta,nan,nan,"Aguja, San Blas",nan,nan,nan,8,650 €,3,60,Piso de alquiler en Aguja Amposta,Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/amposta/157187624/d
nan,nan,nan,nan,nan,Sí,En trámite,G,Parquet-Trastero-Cocina Office-Cocina Equipada,2ª planta,nan,nan,"Mezquite, 2, Arganzuela",nan,nan,nan,18,888 €,2,67,"Piso de alquiler en Mezquite, 2 Delicias",Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/trastero-ascensor/157717283/d
nan,1,Sí,Muy bien,nan,Sí,En trámite,G,Armarios-Electrodomésticos-Lavadora-Nevera-Puerta Blindada-Lavadero-Cocina Equipada,2ª planta,No,Gas Natural,"Calle de Baleares, Carabanchel",nan,nan,nan,11,850 €,3,70,Piso de alquiler en Calle de Baleares Comillas,Piso,Gas Natural,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/calefaccion-ascensor-no-amueblado/158858596/d
10 a 20 años,1,nan,nan,nan,Sí,D,D,Aire acondicionado-Armarios-Calefacción-Z. Comunitaria-Ascensor interior-Cocina Equipada,nan,No,nan,"Calle Morejón, Chamberí",nan,Privado,nan,17,925 €,1,55,Piso de alquiler en Calle Morejón Almagro,Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-zona-comunitaria-ascensor-parking-no-amueblado/158631375/d
30 a 50 años,1,nan,nan,nan,nan,En trámite,G,Aire acondicionado-Cocina Equipada,nan,Sí,nan,Latina,nan,nan,nan,15,580 €,1,35,Estudio de alquiler en Aluche,Estudio,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-amueblado/158862966/d
nan,1,Sí,Bien,Sí,Sí,En trámite,G,Aire acondicionado-Armarios-Cocina Office-Electrodomésticos-Horno-Lavadora-Microondas-Nevera-Serv. portería-Puerta Blindada,5ª planta,Sí,Gas Natural,"Plaza del Ángel, 1, Centro",Sur,nan,nan,19,775 €,1,80,"Piso de alquiler en Plaza del Ángel, 1 Cortes - Huertas",Piso,Gas Natural,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor-amueblado/158586966/d
