Air_Conditioner,Antiquity,Bathrooms,Borough,Community_Zone,Concierge,District,Elevator,Emissions,Energy_Consumption,Ensuite,Equipped_Kitchen,Floor,Furnished,Garden,Len_Extras,Photos,Price,Rooms,Size,Swimming_Pool,Terrace,Type
1,20-30,13,Aravaca,0,0,Moncloa,0,G,G,0,1,Bajos,0,1,12,41,18000,10,1974,1,1,Casa o chalet
1,30-50,3,Argüelles,0,0,Moncloa,0,D,D,1,1,1-4,1,0,6,30,2850,4,213,0,0,Piso
1,70-100,2,Pacífico,0,0,Retiro,1,G,G,1,1,1-4,1,0,8,30,1350,1,85,0,0,Piso
1,1-5,2,Acacias,0,0,Arganzuela,1,C,D,0,1,1-4,1,0,5,22,2800,1,155,0,0,Piso
1,50-70,2,El Viso,0,0,Chamartín,1,E,E,1,1,5-8,0,0,7,23,1950,3,110,0,0,Piso
1,+100,1,Justicia,0,0,Centro,1,E,E,0,1,5-8,1,0,6,27,1450,1,110,0,0,Piso
1,30-50,4,Castillejos,0,0,Tetuán,1,G,G,0,1,9-12,0,0,9,37,4200,5,355,0,1,Piso
1,30-50,2,Niño Jesús,0,0,Retiro,1,G,G,0,1,1-4,0,0,7,40,2000,3,117,0,0,Piso
0,50-70,2,Hispanoamérica,0,0,Chamartín,1,G,G,0,1,Bajos,0,0,8,20,1450,3,115,0,0,Piso
1,10-20,1,San Diego,0,0,Puente de Vallecas,0,F,F,0,0,1-4,0,0,1,15,575,1,30,0,0,Estudio
1,30-50,1,Bellas Vistas,0,0,Tetuán,1,G,G,0,1,1-4,1,0,8,24,850,2,70,0,1,Piso
1,+100,1,Sol,0,0,Centro,1,E,E,0,1,1-4,1,0,7,16,1200,1,76,1,0,Piso
1,50-70,1,Castellana,0,0,Salamanca,1,D,D,0,1,5-8,1,0,4,12,1500,1,89,0,0,Piso
1,50-70,1,Palacio,0,0,Centro,1,E,E,1,1,1-4,1,0,7,16,750,1,40,0,0,Apartamento
1,+100,2,Recoletos,0,0,Salamanca,1,C,C,1,1,1-4,0,0,7,21,2000,2,120,0,0,Piso
1,70-100,1,Palos de Moguer,0,0,Arganzuela,0,D,D,0,1,1-4,1,0,4,29,675,1,33,0,0,Loft
1,50-70,3,Castellana,0,0,Salamanca,1,E,E,1,1,1-4,1,0,10,19,3500,3,150,0,0,Piso
1,+100,1,Palacio,0,0,Centro,1,F,E,0,1,1-4,1,0,4,20,800,1,43,0,0,Piso
1,+100,3,Embajadores,0,0,Centro,1,D,D,1,1,1-4,0,0,8,32,1550,2,160,0,0,Piso
1,10-20,1,Argüelles,0,0,Moncloa,1,E,E,1,1,5-8,1,0,8,36,2000,2,75,0,1,Ático
1,+100,2,Sol,0,0,Centro,1,F,G,1,1,1-4,1,0,9,22,2600,3,224,0,0,Piso
1,30-50,1,Palacio,0,0,Centro,0,E,G,0,1,1-4,0,0,5,15,1100,1,45,0,0,Piso
1,50-70,1,Palacio,0,0,Centro,1,E,E,1,0,1-4,1,0,6,14,850,1,43,0,0,Apartamento
1,20-30,5,Aravaca,0,0,Moncloa,0,Exento,Exento,0,1,1-4,0,1,8,48,4900,8,575,1,1,Casa o chalet
1,+100,1,Palacio,0,0,Centro,1,D,E,0,1,1-4,1,0,5,15,1000,1,36,0,0,Piso
1,+100,1,Palacio,0,0,Centro,0,E,E,0,1,1-4,1,0,4,21,1400,2,62,0,0,Piso
0,50-70,2,Ibiza,0,0,Retiro,1,E,E,0,1,1-4,1,0,4,26,1350,3,101,0,0,Piso
1,+100,1,Palacio,0,0,Centro,0,E,G,0,1,1-4,1,0,4,41,790,1,40,0,0,Apartamento
1,10-20,2,Castellana,0,0,Salamanca,1,D,D,1,1,1-4,0,0,7,31,2500,2,102,0,0,Piso
1,10-20,2,Castellana,0,0,Salamanca,1,D,D,1,0,1-4,0,0,10,25,3000,2,157,0,1,Piso
0,50-70,1,Palacio,0,0,Centro,1,E,E,1,0,1-4,0,0,5,14,750,1,40,0,0,Apartamento
1,50-70,3,Castellana,0,0,Salamanca,1,E,E,1,1,1-4,0,0,8,27,2400,3,127,0,0,Piso
1,+100,1,Palacio,0,0,Centro,1,B,B,0,1,1-4,0,0,4,19,950,1,57,0,0,Piso
1,70-100,1,Goya,0,0,Salamanca,1,D,E,1,1,1-4,1,0,6,28,1350,1,58,0,0,Piso
1,+100,1,Recoletos,0,0,Salamanca,1,E,E,0,1,1-4,0,0,5,19,1350,2,72,0,0,Piso
1,20-30,2,Justicia,0,0,Centro,1,D,D,0,0,1-4,0,0,2,26,1450,2,86,0,0,Piso
0,50-70,3,Gaztambide,0,0,Chamberí,1,E,E,1,1,5-8,0,0,11,47,2600,4,237,0,1,Piso
1,70-100,2,Ríos Rosas,0,0,Chamberí,0,E,E,0,1,1-4,1,0,3,27,1350,1,70,0,0,Piso
1,10-20,2,Guindalera,0,0,Salamanca,1,E,E,1,1,5-8,1,0,8,38,1780,2,110,0,1,Ático
1,+100,1,Justicia,0,0,Centro,1,E,E,0,1,5-8,1,0,8,19,900,1,50,0,0,Piso
1,50-70,3,Castellana,0,0,Salamanca,1,E,E,1,1,1-4,1,0,9,27,3500,3,138,0,1,Piso
1,70-100,2,Castellana,1,0,Salamanca,1,E,E,0,1,1-4,0,0,14,20,1350,2,90,0,1,Piso
0,+100,1,Sol,0,0,Centro,1,D,D,0,0,1-4,0,0,1,21,680,1,43,0,0,Estudio
1,10-20,1,Canillejas,0,0,San Blas,1,E,E,0,0,1-4,0,1,6,37,870,1,84,1,1,Ático
0,30-50,1,Valdezarza,0,0,Moncloa,1,G,G,0,0,1-4,0,1,2,18,570,1,32,1,0,Estudio
1,10-20,2,Canillejas,0,0,San Blas,1,D,D,0,0,1-4,0,1,5,40,920,2,104,1,0,Piso
0,20-30,1,Acacias,0,0,Arganzuela,1,F,F,0,0,1-4,0,0,1,27,795,2,45,0,0,Piso
0,+100,1,Sol,0,0,Centro,1,E,E,0,0,1-4,0,0,1,22,680,1,35,0,0,Estudio
0,30-50,1,Valdezarza,0,0,Moncloa,1,F,F,0,0,1-4,0,0,1,26,670,1,40,0,0,Estudio
0,5-10,2,San Fermín,1,0,Usera,1,D,D,0,0,1-4,0,1,5,19,820,2,95,1,0,Piso
0,5-10,2,San Isidro,0,0,Carabanchel,1,E,E,0,0,1-4,0,0,2,27,850,2,101,0,0,Piso
1,10-20,2,Canillejas,0,0,San Blas,1,D,D,0,0,1-4,0,1,5,40,920,2,101,1,0,Piso
0,70-100,1,Cortes,0,0,Centro,0,E,E,0,0,1-4,0,0,1,15,980,2,78,0,0,Planta baja
0,+100,1,Embajadores,0,0,Centro,0,G,G,0,0,1-4,0,0,1,26,700,1,35,0,0,Piso
1,+100,1,Universidad,0,0,Centro,1,F,G,0,1,1-4,1,0,12,16,725,1,26,0,0,Estudio
0,1-5,1,Numancia,0,0,Puente de Vallecas,0,G,G,0,1,1-4,1,0,5,7,449,1,27,0,0,Apartamento
1,70-100,1,Pacífico,0,1,Retiro,1,G,G,1,1,5-8,1,0,12,26,950,2,80,0,1,Ático
0,70-100,1,Valdezarza,0,0,Moncloa,1,E,E,0,1,1-4,1,0,9,21,950,2,56,0,1,Piso
0,30-50,1,Castillejos,0,1,Tetuán,1,G,G,0,1,9-12,0,0,4,23,730,1,50,0,1,Piso
1,20-30,1,Valverde,0,1,Centro,1,B,B,0,1,1-4,1,0,10,9,540,1,35,0,0,Estudio
1,30-50,1,Prosperidad,0,1,Chamartín,1,G,G,0,1,5-8,1,0,9,6,725,1,31,0,0,Estudio
0,70-100,2,Pacífico,0,1,Retiro,1,C,C,1,1,5-8,0,0,11,26,1150,2,98,0,1,Piso
0,70-100,1,Ríos Rosas,0,0,Chamberí,1,G,G,0,0,1-4,0,0,1,18,850,2,46,0,0,Piso
1,10-20,1,Palacio,0,0,Centro,1,G,G,0,0,1-4,0,0,2,28,790,1,50,0,0,Piso
1,10-20,2,Los Rosales,1,0,Villaverde,1,G,G,0,1,1-4,1,0,6,14,950,3,120,1,0,Piso
0,+100,1,Embajadores,0,0,Centro,0,G,G,0,1,1-4,1,0,7,12,550,1,30,0,0,Estudio
1,10-20,1,Legazpi,0,0,Arganzuela,1,D,D,0,0,5-8,0,1,5,32,720,1,51,1,0,Estudio
1,70-100,1,Cuatro Caminos,0,0,Tetuán,0,G,G,0,1,1-4,0,0,4,20,950,2,66,0,0,Piso
1,30-50,2,Castilla,0,0,Chamartín,0,G,G,1,1,1-4,0,0,10,25,1200,3,90,0,0,Piso
1,30-50,1,Palomeras Bajas,0,0,Puente de Vallecas,0,D,D,0,1,1-4,0,0,4,14,690,3,62,0,1,Piso
1,+100,1,Sol,0,0,Centro,1,G,G,0,0,1-4,1,0,4,24,645,1,32,0,0,Estudio
0,70-100,2,Pacífico,0,1,Retiro,1,C,C,1,1,5-8,0,0,11,29,1190,2,101,0,1,Piso
1,50-70,3,Nueva España,1,1,Chamartín,1,G,G,1,1,1-4,0,0,20,21,2990,4,200,1,0,Piso
1,70-100,3,Almagro,0,1,Chamberí,1,G,G,1,1,1-4,0,0,18,38,4500,6,400,0,1,Piso
0,70-100,2,Pacífico,0,1,Retiro,1,C,D,1,1,5-8,0,0,11,24,1190,2,102,0,1,Piso
1,+100,3,Justicia,0,1,Centro,1,G,G,1,1,5-8,1,0,13,30,3300,3,150,0,0,Piso
1,70-100,2,Almagro,0,1,Chamberí,1,D,E,1,1,5-8,0,0,8,18,2300,2,112,0,0,Piso
0,70-100,1,Lista,0,1,Salamanca,0,G,G,0,1,Bajos,1,0,5,13,950,2,56,0,0,Piso
0,70-100,1,Trafalgar,0,1,Chamberí,0,G,G,0,1,1-4,1,0,15,26,1800,3,100,0,0,Piso
1,10-20,1,Canillejas,0,0,San Blas,1,G,G,0,1,1-4,0,0,4,30,900,3,85,0,1,Piso
1,+100,2,Palacio,0,1,Centro,1,G,G,1,1,1-4,1,0,17,25,1550,3,110,0,1,Piso
1,30-50,2,Ciudad Jardín,1,1,Chamartín,1,G,G,1,1,1-4,1,0,16,20,1450,2,106,1,0,Piso
1,50-70,1,Guindalera,0,0,Salamanca,1,G,G,0,1,1-4,1,0,6,14,900,2,80,0,0,Piso
0,+100,1,Embajadores,0,0,Centro,1,G,G,0,1,1-4,1,0,5,5,1100,3,70,0,0,Piso
1,+100,3,Cortes,0,1,Centro,1,G,G,0,1,Bajos,0,0,15,19,1950,3,135,0,0,Dúplex
0,10-20,1,Simancas,0,0,San Blas,1,E,F,0,1,1-4,0,0,4,13,700,2,53,0,0,Piso
1,10-20,2,Opañel,1,0,Carabanchel,1,G,G,0,1,1-4,0,0,7,13,1100,3,93,1,0,Piso
1,30-50,1,Pacífico,0,1,Retiro,1,D,D,0,1,1-4,1,0,11,29,790,1,55,0,0,Piso
1,10-20,1,Villaverde Alto,0,0,Villaverde,0,G,G,0,1,1-4,0,0,9,9,580,1,51,0,0,Piso
